Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
"Колесов В.В.; Шацкий А.В.; Бахтина Н.Н.; Гривко И.Л.";ПРОГРАММНЫЙ КОМПЛЕКС «ЭХО»;2007;;Тюмень;;доклад;;;;геологическое моделирование;"Колесов В.В.; Шацкий А.В.; Бахтина Н.Н.; Гривко И.Л. ПРОГРАММНЫЙ КОМПЛЕКС «ЭХО»"
 Славкин В.С.,  Дахнова М.В.,  Алексеев А.Д.,  Колосков В.Н.;МЕТОДОЛОГИЯ РАЗВЕДКИ И ОСВОЕНИЯ ЗАЛЕЖЕЙ НЕФТИ БАЖЕНОВСКОЙ СВИТЫ НА ЗАПАДЕ ЗС НГБ;2007;;Тюмень;;доклад;Западная Сибирь;баженовская свита;;нефтегазоносность; Славкин В.С.,  Дахнова М.В.,  Алексеев А.Д.,  Колосков В.Н.МЕТОДОЛОГИЯ РАЗВЕДКИ И ОСВОЕНИЯ ЗАЛЕЖЕЙ НЕФТИ БАЖЕНОВСКОЙ СВИТЫ НА ЗАПАДЕ ЗС НГБ
Ковалевский Е.В., Гогоненков Г.Н., Перепечкин М.В.;АВТОМАТИЧЕСКАЯ КОРРЕЛЯЦИЯ СКВАЖИН НА ОСНОВЕ ФОРМАЛИЗАЦИИ НЕОПРЕДЕЛЕННОСТИ;2007;;Тюмень;;доклад;;;;геологическое моделирование;Ковалевский Е.В., Гогоненков Г.Н., Перепечкин М.В. АВТОМАТИЧЕСКАЯ КОРРЕЛЯЦИЯ СКВАЖИН НА ОСНОВЕ ФОРМАЛИЗАЦИИ НЕОПРЕДЕЛЕННОСТИ
Орехова Л.Н., Родионов С.П.;РАСЧЕТ ОТНОСИТЕЛЬНЫХ ФАЗОВЫХ ПРОНИЦАЕМОСТЕЙ ПРИ ПРЕОБРАЗОВАНИИ ГЕОЛОГИЧЕСКОЙ МОДЕЛИ В ГИДРОДИНАМИЧЕСКУЮ;2007;;Тюмень;;доклад;;;;геологическое моделирование;Орехова Л.Н., Родионов С.П. РАСЧЕТ ОТНОСИТЕЛЬНЫХ ФАЗОВЫХ ПРОНИЦАЕМОСТЕЙ ПРИ ПРЕОБРАЗОВАНИИ ГЕОЛОГИЧЕСКОЙ МОДЕЛИ В ГИДРОДИНАМИЧЕСКУЮ
Чернокожев Д.А.;ОЦЕНКА АДЕКВАТНОСТИ ФИЛЬТРАЦИОННЫХ МОДЕЛЕЙ ПО РЕЗУЛЬТАТАМ ТРАССЕРНЫХ ИССЛЕДОВАНИЙ;2007;;Тюмень;;доклад;;;;гидродинамическое моделирование;Чернокожев Д.А. ОЦЕНКА АДЕКВАТНОСТИ ФИЛЬТРАЦИОННЫХ МОДЕЛЕЙ ПО РЕЗУЛЬТАТАМ ТРАССЕРНЫХ ИССЛЕДОВАНИЙ
 Шемин Г.Г.,  Бейзель А.Л.,  Нехаев А.Ю.,  Микуленко И.К.,  Первухина Н.В.;Модель строения и перспективы нефтегазоносности юры севера Западно-Сибирской НГП;2007;;Тюмень;;доклад;Западная Сибирь;юра;;геологическое моделирование; Шемин Г.Г.,  Бейзель А.Л.,  Нехаев А.Ю.,  Микуленко И.К.,  Первухина Н.В. Модель строения и перспективы нефтегазоносности юры севера Западно-Сибирской НГП
Шемин Г.Г.;Модель строения и прогноз нефтегазоносности карбонатных резервуаров венд-кембрия Лено-Тунгуской НГП;2007;;Тюмень;;доклад;Восточная Сибирь;венд, кембрий;;геологическое моделирование;Шемин Г.Г. Модель строения и прогноз нефтегазоносности карбонатных резервуаров венд-кембрия Лено-Тунгуской НГП
Сердюк З.Я., Слепокурова Л.Д., Смолин С.Н., Антонович Р.М., Вильковская И.Ю., Зубарева Л.И.;Опыт картирования вещественного состава палеозойских пород по их петрофизическим свойствам;2007;;Тюмень;;доклад;Западная Сибирь;палеозой;;литология;Сердюк З.Я., Слепокурова Л.Д., Смолин С.Н., Антонович Р.М., Вильковская И.Ю., Зубарева Л.И. Опыт картирования вещественного состава палеозойских пород по их петрофизическим свойствам
Язьков А.В.;ПЛАНИРОВАНИЕ МНОГОЗАДАЧНОГО ГДИС В СЛОЖНОМ РЕЗЕРВУАРЕ НА ПРИМЕРЕ Д. МЕСТОРОЖДЕНИЯ;2007;;Тюмень;;доклад;Западная Сибирь;;;;Язьков А.В. ПЛАНИРОВАНИЕ МНОГОЗАДАЧНОГО ГДИС В СЛОЖНОМ РЕЗЕРВУАРЕ НА ПРИМЕРЕ Д. МЕСТОРОЖДЕНИЯ
Гогоненков Г.Н., Тимурзиев А.И.;НОВЕЙШАЯ СДВИГОВАЯ ТЕКТОНИКА ЗАПАДНОЙ СИБИРИ -МАСШТАБЫ ПРОЯВЛЕНИЯ И ТЕКТОНИЧЕСКАЯ ПОЗИЦИЯ;2007;;Тюмень;;доклад;Западная Сибирь;;;тектоника;Гогоненков Г.Н., Тимурзиев А.И. НОВЕЙШАЯ СДВИГОВАЯ ТЕКТОНИКА ЗАПАДНОЙ СИБИРИ - МАСШТАБЫ ПРОЯВЛЕНИЯ И ТЕКТОНИЧЕСКАЯ ПОЗИЦИЯ
 Федорцов В.К.,  Красильников А.А.,  Малджанова О.П..;Исследования газоконденсатных залежей и скважин неустановившейся фильтрацией.;2007;;Тюмень;;доклад;;;;; Федорцов В.К.,  Красильников А.А.,  Малджанова О.П. Исследования газоконденсатных залежей и скважин неустановившейся фильтрацией.
Белкина В.А., . Шелушенко А.А.;МЕТОДИКА УТОЧНЕНИЯ МОДЕЛЕЙ ЗАЛЕЖЕЙ СО СЛОЖНЫМ СТРОЕНИЕМ ВНК;2007;;Тюмень;;доклад;;;;геологическое моделирование;Белкина В.А., . Шелушенко А.А. МЕТОДИКА УТОЧНЕНИЯ МОДЕЛЕЙ ЗАЛЕЖЕЙ СО СЛОЖНЫМ СТРОЕНИЕМ ВНК
 Бевзенко Ю.П.;О ФОРМИРОВАНИИ БАЗЫ ПЕРВИЧНЫХ СЕЙСМИЧЕСКИХ ДАННЫХ ДЛЯ СОЗДАНИЯ ГЕОЛОГИЧЕСКИХ МОДЕЛЕЙ МЕСТОРОЖДЕНИЙ;2007;;Тюмень;;доклад;;;;геологическое моделирование; Бевзенко Ю.П. О ФОРМИРОВАНИИ БАЗЫ ПЕРВИЧНЫХ СЕЙСМИЧЕСКИХ ДАННЫХ ДЛЯ СОЗДАНИЯ ГЕОЛОГИЧЕСКИХ МОДЕЛЕЙ МЕСТОРОЖДЕНИЙ
Огнев А.Ф.;ЭНЕРГЕТИЧЕСКИЕ КРИТЕРИИ ФОРМИРОВАНИЯ КРУПНЫХ ЗОН НЕФТЕГАЗОНАКОПЛЕНИЯ В ДИНАМИЧЕСКИ АКТИВНЫХ БЛОКАХ ЗЕМНОЙ КОРЫ ЗАПАДНО-СИБИРСКОГО НГБ;2007;;Тюмень;;доклад;Западная Сибирь;;;;Огнев А.Ф. ЭНЕРГЕТИЧЕСКИЕ КРИТЕРИИ ФОРМИРОВАНИЯ КРУПНЫХ ЗОН НЕФТЕГАЗОНАКОПЛЕНИЯ В ДИНАМИЧЕСКИ АКТИВНЫХ БЛОКАХ ЗЕМНОЙ КОРЫ ЗАПАДНО-СИБИРСКОГО НГБ
;Литолого-стратиграфические ловушки углеводородов на севере Западной Сибири.;2007;;Тюмень;;доклад;Западная Сибирь;;;литология, стратиграфия;Литолого-стратиграфические ловушки углеводородов на севере Западной Сибири.
Бочкарев В.С.;ТЕКТОНИКА ЗАПАДНО-СИБИРСКОГО МЕГАБАССЕЙНА;2007;;Тюмень;;доклад;Западная Сибирь;;;тектоника;Бочкарев В.С. ТЕКТОНИКА ЗАПАДНО-СИБИРСКОГО МЕГАБАССЕЙНА
 Драгунов А.А.,  Гареев К.Р.,  Шайхутдинов Р.С.;КОМПЛЕКС ДИСТАНЦИОННЫХ ИССЛЕДОВАНИЙ ДЛЯ ПОИСКА И ИЗУЧЕНИЯ МЕСТОРОЖДЕНИЙ НЕФТИ И ГАЗА;2007;;Тюмень;;доклад;;;;; Драгунов А.А.,  Гареев К.Р.,  Шайхутдинов Р.С. КОМПЛЕКС ДИСТАНЦИОННЫХ ИССЛЕДОВАНИЙ ДЛЯ ПОИСКА И ИЗУЧЕНИЯ МЕСТОРОЖДЕНИЙ НЕФТИ И ГАЗА
Мухутдинов Р.А.;ГЕОЛОГО-ГЕОХИМИЧЕСКИЕ ОСОБЕННОСТИ ФОРМИРОВАНИЯ УГЛЕВОДОРОДОВ НА СЕВЕРЕ ЗАПАДНОЙ СИБИРИ.;2007;;Тюмень;;доклад;Западная Сибирь;;;геохимия;Мухутдинов Р.А. ГЕОЛОГО-ГЕОХИМИЧЕСКИЕ ОСОБЕННОСТИ ФОРМИРОВАНИЯ УГЛЕВОДОРОДОВ НА СЕВЕРЕ ЗАПАДНОЙ СИБИРИ.
 Ситар К.А.,  Кирюхина Т.А.;ГЕОЛОГО-ГЕОХИМИЧЕСКАЯ МОДЕЛЬ ФОРМИРОВАНИЯ НЕФТЕГАЗОНОСНОСТИ СЕВЕРНОЙ ЧАСТИ ТИМАНО-ПЕЧОРСКОГО БАССЕЙНА;2007;;Тюмень;;доклад;Тимано-Печорский НГБ;;;; Ситар К.А.,  Кирюхина Т.А. ГЕОЛОГО-ГЕОХИМИЧЕСКАЯ МОДЕЛЬ ФОРМИРОВАНИЯ НЕФТЕГАЗОНОСНОСТИ СЕВЕРНОЙ ЧАСТИ ТИМАНО-ПЕЧОРСКОГО БАССЕЙНА
 Быков В.В.,  Кадырова Э.Р., Лурье М.Б.,  Петренко А.С.,  Смирнов О.А.;ПРОГНОЗИРОВАНИЕ ПРОДУКТИВНОЙ ЧАСТИ ГЕОЛОГИЧЕСКОГО РАЗРЕЗА ОМБИНСКОГО МЕСТОРОЖДЕНИЯ И ОСОБЕННОСТИ ЕГО СТРОЕНИЯ;2007;;Тюмень;;доклад;Западная Сибирь;;;прогноз; Быков В.В.,  Кадырова Э.Р., Лурье М.Б.,  Петренко А.С.,  Смирнов О.А. ПРОГНОЗИРОВАНИЕ ПРОДУКТИВНОЙ ЧАСТИ ГЕОЛОГИЧЕСКОГО РАЗРЕЗА ОМБИНСКОГО МЕСТОРОЖДЕНИЯ И ОСОБЕННОСТИ ЕГО СТРОЕНИЯ
 Драгунов А.А.,  Гареев К.Р.;К ВОПРОСУ О ПОИСКАХ УГЛЕВОДОРОДНОГО СЫРЬЯ НА ШЕЛЬФАХ С ИСПОЛЬЗОВАНИЕМ КОСМИЧЕСКИХ СНИМКОВ;2007;;Тюмень;;доклад;;;;; Драгунов А.А.,  Гареев К.Р. К ВОПРОСУ О ПОИСКАХ УГЛЕВОДОРОДНОГО СЫРЬЯ НА ШЕЛЬФАХ С ИСПОЛЬЗОВАНИЕМ КОСМИЧЕСКИХ СНИМКОВ
Дручин В.С.;Изучение пластов АС9-10 Вареягского месторождения. Анализ разведочных работ.;2007;;Тюмень;;доклад;Западная Сибирь;;;;Дручин В.С. Изучение пластов АС9-10 Вареягского месторождения. Анализ разведочных работ.
 Печёркин М.Ф.,  Кузьмин Ю.А.,  Деревягин А.А.;ОБЕСПЕЧЕННОСТЬ ДОБЫЧИ ЗАПАСАМИ ДЛЯ ЭФФЕКТИВНОГО ОСВОЕНИЯ НЕДР;2007;;Тюмень;;доклад;Западная Сибирь;;;; Печёркин М.Ф.,  Кузьмин Ю.А.,  Деревягин А.А. ОБЕСПЕЧЕННОСТЬ ДОБЫЧИ ЗАПАСАМИ ДЛЯ ЭФФЕКТИВНОГО ОСВОЕНИЯ НЕДР
Мордвинцев М.В., Скачек К.Г., Лац С.А.;Оценка ресурсов УВ в приконтактной зоне осадочного чехла и доюрского основания на в пределах Широтного Приобья;2007;;Тюмень;;доклад;Западная Сибирь;;;;Мордвинцев М.В., Скачек К.Г., Лац С.А. Оценка ресурсов УВ в приконтактной зоне осадочного чехла и доюрского основания на в пределах Широтного Приобья
Глушаков Б.Я., Маркушин Д.А., Стукова В.А.;О РОЛИ ПЕТРОФИЗИКИ В РЕГИОНАЛЬНЫХ РАБОТАХ;2007;;Тюмень;;доклад;Западная Сибирь;;;петрофизика;Глушаков Б.Я., Маркушин Д.А., Стукова В.А. О РОЛИ ПЕТРОФИЗИКИ В РЕГИОНАЛЬНЫХ РАБОТАХ
Федорцов И.В., Абрамова О.С., Сарафанова Л.А., Стрельникова Ю.В.;К ВОПРОСУ ВЛИЯНИЯ ЗАСОЛОНЕННОСТИ КЕРНА НА ЛАБОРАТОРНОЕОПРЕДЕЛЕНИЕ ФИЛЬТРАЦИОННО-ЕМКОСТНЫХ СВОЙСТВ НА ПРИМЕРЕ ВЕНД-НИЖНЕКЕМБРИЙСКИХ ПОРОД ВОСТОЧНОЙ СИБИРИ.;2007;;Тюмень;;доклад;Восточная Сибирь;венд, кембрий;;;Федорцов И.В., Абрамова О.С., Сарафанова Л.А., Стрельникова Ю.В. К ВОПРОСУ ВЛИЯНИЯ ЗАСОЛОНЕННОСТИ КЕРНА НА ЛАБОРАТОРНОЕОПРЕДЕЛЕНИЕ ФИЛЬТРАЦИОННО-ЕМКОСТНЫХ СВОЙСТВ НА ПРИМЕРЕ ВЕНД-НИЖНЕКЕМБРИЙСКИХ ПОРОД ВОСТОЧНОЙ СИБИРИ.
Саетгалеев Я.Х., Рахматуллин И.Р., Запорожец А.А.;"АВТОМАТИЗАЦИЯ ОФОРМЛЕНИЯ ОТЧЕТНЫХ ДАННЫХ НА УСТАНОВКЕ ""МИКРОТРЕК Х-100"" (ГРАНУЛОМЕТРИЧЕСКИЙ АНАЛИЗ)";2007;;Тюмень;;доклад;;;;;"Саетгалеев Я.Х., Рахматуллин И.Р., Запорожец А.А. АВТОМАТИЗАЦИЯ ОФОРМЛЕНИЯ ОТЧЕТНЫХ ДАННЫХ НА УСТАНОВКЕ ""МИКРОТРЕК Х-100"" (ГРАНУЛОМЕТРИЧЕСКИЙ АНАЛИЗ)"
Саетгалеев Я.Х., Рахматуллин И.Р., Борзов Н.М.;"АВТОМАТИЗАЦИЯ ОФОРМЛЕНИЯ ОТЧЕТНЫХ ДАННЫХ НА УСТАНОВКЕ ""PW-2400"" (РЕНТГЕНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ)";2007;;Тюмень;;доклад;;;;;"Саетгалеев Я.Х., Рахматуллин И.Р., Борзов Н.М. АВТОМАТИЗАЦИЯ ОФОРМЛЕНИЯ ОТЧЕТНЫХ ДАННЫХ НА УСТАНОВКЕ ""PW-2400"" (РЕНТГЕНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ)"
Еникеев Б.Н.;ОСОБЕННОСТИ СОСТАВА И СТРОЕНИЯ СИСТЕМ ПОДДЕРЖКИ ПЕТРОФИЗИЧЕСКОГО ОБОСНОВАНИЯ ИНТЕРПРЕТАЦИИ, ОСНОВАННЫХ НА ЗНАНИЯХ – КУДА ИДЕМ?;2007;;Тюмень;;доклад;;;;петрофизика;Еникеев Б.Н. ОСОБЕННОСТИ СОСТАВА И СТРОЕНИЯ СИСТЕМ ПОДДЕРЖКИ ПЕТРОФИЗИЧЕСКОГО ОБОСНОВАНИЯ ИНТЕРПРЕТАЦИИ, ОСНОВАННЫХ НА ЗНАНИЯХ – КУДА ИДЕМ?
Борис Н. Еникеев, Наталия В.Карасина, Антон Б. Охрименко, Олег А. Cмирнов;ВОПРОСЫ МЕТОДОЛОГИИ И НЕКОТОРЫЕ РЕЗУЛЬТАТЫ ПРИМЕНЕНИЯ СРАВНИТЕЛЬНОГО МЕТОДА ПРИ ИЗУЧЕНИИ ПЕТРОФИЗИКИ КОЛЛЕКТОРОВ НЕФТИ И ГАЗА;2007;;Тюмень;;доклад;;;;петрофизика;Борис Н. Еникеев, Наталия В.Карасина, Антон Б. Охрименко, Олег А. Cмирнов. ВОПРОСЫ МЕТОДОЛОГИИ И НЕКОТОРЫЕ РЕЗУЛЬТАТЫ ПРИМЕНЕНИЯ СРАВНИТЕЛЬНОГО МЕТОДА ПРИ ИЗУЧЕНИИ ПЕТРОФИЗИКИ КОЛЛЕКТОРОВ НЕФТИ И ГАЗА
 Зубков М.Ю.;ЭКСПЕРИМЕНТАЛЬНЫЕ ИССЛЕДОВАНИЯ ПРОЦЕССОВ ГИДРОФОБИЗАЦИИ ВОДО-НЕФТЕНАСЫЩЕННЫХ КВАРЦЕВЫХ, КАРБОНАТНЫХ И БЕНТОНИТОВЫХ ПОРОШКОВ В ТЕРМОГРАДИЕНТНОМ ПОЛЕ;2007;;Тюмень;;доклад;;;;; Зубков М.Ю. ЭКСПЕРИМЕНТАЛЬНЫЕ ИССЛЕДОВАНИЯ ПРОЦЕССОВ ГИДРОФОБИЗАЦИИ ВОДО-НЕФТЕНАСЫЩЕННЫХ КВАРЦЕВЫХ, КАРБОНАТНЫХ И БЕНТОНИТОВЫХ ПОРОШКОВ В ТЕРМОГРАДИЕНТНОМ ПОЛЕ
 Зубков М.Ю.,  Каган М.В.,  Вокин Р.Д.,  Шленкин С.И.,  Булынников С.В.;ПРОГНОЗ ЗОН ПОВЫШЕННОЙ ПРОДУКТИВНОСТИ В ЮРСКИХ ОТЛОЖЕНИЯХ ТАЙЛАКОВСКОГО ЛИЦЕНЗИОННОГО УЧАСТКА НА ОСНОВЕ КОМПЛЕКСИРОВАНИЯ ДАННЫХ СЕЙСМОРАЗВЕДКИ И ТЕКТОНОФИЗИЧЕСКОГО МОДЕЛИРОВАНИЯ;2007;;Тюмень;;доклад;;;;; Зубков М.Ю.,  Каган М.В.,  Вокин Р.Д.,  Шленкин С.И.,  Булынников С.В. ПРОГНОЗ ЗОН ПОВЫШЕННОЙ ПРОДУКТИВНОСТИ В ЮРСКИХ ОТЛОЖЕНИЯХ ТАЙЛАКОВСКОГО ЛИЦЕНЗИОННОГО УЧАСТКА НА ОСНОВЕ КОМПЛЕКСИРОВАНИЯ ДАННЫХ СЕЙСМОРАЗВЕДКИ И ТЕКТОНОФИЗИЧЕСКОГО МОДЕЛИРОВАНИЯ
 Sibiriakov В.Р.;The flow prediction is a function of stresses in productive layer and structure of pore space;2007;;Тюмень;;доклад;;;;; Sibiriakov В.Р. The flow prediction is a function of stresses in productive layer and structure of pore space
Борисов М.А.;ВОЗМОЖНОСТИ СИСТЕМЫ PETROEXPERT ДЛЯ ПОДДЕРЖКИ ИНТЕРПРЕТАЦИИ КАРОТАЖА И КЕРНА;2007;;Тюмень;;доклад;;;;;Борисов М.А. ВОЗМОЖНОСТИ СИСТЕМЫ PETROEXPERT ДЛЯ ПОДДЕРЖКИ ИНТЕРПРЕТАЦИИ КАРОТАЖА И КЕРНА
Кравцов С.В., Д.А.Кожевников;ПЕТРОФИЗИЧЕСКОЕ МОДЕЛИРОВАНИЕ СЛОЖНЫХ КОЛЛЕКТОРОВ ЗАПАДНОЙ СИБИРИ;2007;;Тюмень;;доклад;;;;петрофизика;Кравцов С.В., Д.А.Кожевников . ПЕТРОФИЗИЧЕСКОЕ МОДЕЛИРОВАНИЕ СЛОЖНЫХ КОЛЛЕКТОРОВ ЗАПАДНОЙ СИБИРИ
 Таужнянский Г.В.,  Панов С.Ф.,  Рудакова О.Ю.,  Селиванова Е.Е.,  Румак Н.П., Боброва О.Н.;Определение подсчётных параметров залежей нефти и газа Западной Сибири по данным каротажа скважин.;2007;;Тюмень;;доклад;Западная Сибирь;;;; Таужнянский Г.В.,  Панов С.Ф.,  Рудакова О.Ю.,  Селиванова Е.Е.,  Румак Н.П., Боброва О.Н. Определение подсчётных параметров залежей нефти и газа Западной Сибири по данным каротажа скважин.
Tieyuan Zhu, Zhongjie Zhang;Finite-difference Modeling of Viscoelastic-Fractured media;2007;;Тюмень;;доклад;;;;;Tieyuan Zhu, Zhongjie Zhang. Finite-difference Modeling of Viscoelastic-Fractured media
 Кузнецов А.Н.,  Мороз И.П.,  Ключкин В.Н.;ИЗУЧЕНИЕ СВЯЗЕЙ МЕЖДУ ПЕТРОФИЗИЧЕСКИМИ ПАРАМЕТРАМИ КЕРНАСЕЙСМОЭЛЕКТРИЧЕСКИМИ ЯВЛЕНИЯМИ И ПЕТРОФИЗИЧЕСКИМИ ПАРАМЕТРАМИ КЕРНА;2007;;Тюмень;;доклад;;;;петрофизика, геофизика; Кузнецов А.Н.,  Мороз И.П.,  Ключкин В.Н. ИЗУЧЕНИЕ СВЯЗЕЙ МЕЖДУ ПЕТРОФИЗИЧЕСКИМИ ПАРАМЕТРАМИ КЕРНАСЕЙСМОЭЛЕКТРИЧЕСКИМИ ЯВЛЕНИЯМИ И ПЕТРОФИЗИЧЕСКИМИ ПАРАМЕТРАМИ КЕРНА
 Антонов Ю.Н.,   Малеева Л.В..;ГЕОЛОГО-ГЕОФИЗИЧЕСКОЕ ТОЛКОВАНИЕ ДАННЫХ ЭЛЕКТРОМАГНИТНОГО ЗОНДИРОВАНИЯ ИЗ ГОРИЗОНТАЛЬНЫХ СКВАЖИН;2007;;Тюмень;;доклад;;;;геофизика; Антонов Ю.Н.,   Малеева Л.В. ГЕОЛОГО-ГЕОФИЗИЧЕСКОЕ ТОЛКОВАНИЕ ДАННЫХ ЭЛЕКТРОМАГНИТНОГО ЗОНДИРОВАНИЯ ИЗ ГОРИЗОНТАЛЬНЫХ СКВАЖИН
 Нестеренко М.Г.,  Федоров В.Н.,  Порчулян Е.Б,;ОЦЕНКА ГРАНИЦ ПРИМЕНИМОСТИ МЕТОДА ОПРЕДЕЛЕНИЯ КОЛИЧЕСТВЕННОГО СОСТАВА ФАЗ ДВУХФАЗНОГО ПЛАСТОВОГО ФЛЮИДА ПРИ ТЕРМОГОДРОДИНАМИЧЕСКИХ ИССЛЕДОВАНИЯХ СКВАЖИН;2007;;Тюмень;;доклад;;;;геофизика, ГИС скважин; Нестеренко М.Г.,  Федоров В.Н.,  Порчулян Е.Б. ОЦЕНКА ГРАНИЦ ПРИМЕНИМОСТИ МЕТОДА ОПРЕДЕЛЕНИЯ КОЛИЧЕСТВЕННОГО СОСТАВА ФАЗ ДВУХФАЗНОГО ПЛАСТОВОГО ФЛЮИДА ПРИ ТЕРМОГОДРОДИНАМИЧЕСКИХ ИССЛЕДОВАНИЯХ СКВАЖИН
 Рамазанов А.Ш.,  Валиуллин Р.А., Тертычный В.В., Федоров В.Н.;Количественная интерпретация данных термогидродинамических исследований в нефтяных скважинах;2007;;Тюмень;;доклад;;;;; Рамазанов А.Ш.,  Валиуллин Р.А., Тертычный В.В., Федоров В.Н. Количественная интерпретация данных термогидродинамических исследований в нефтяных скважинах
Троянов А.К., Астраханцев Ю.Г., Начапкин Н.И., Новиков С.С.;НОВЫЙ ГЕОФИЗИЧЕСКИЙ МЕТОД КОНТРОЛЯ ЗА ЭКСПЛУАТАЦИЕЙ НЕФТЯНЫХ И ГАЗОВЫХ СКВАЖИН;2007;;Тюмень;;доклад;;;;геофизика, ГИС скважин;Троянов А.К., Астраханцев Ю.Г., Начапкин Н.И., Новиков С.С. НОВЫЙ ГЕОФИЗИЧЕСКИЙ МЕТОД КОНТРОЛЯ ЗА ЭКСПЛУАТАЦИЕЙ НЕФТЯНЫХ И ГАЗОВЫХ СКВАЖИН
 Валиуллин Р.А.,  Рамазанов А.Ш.,  Шарафутдинов Р.Ф.;НЕСТАЦИОНАРНАЯ ТЕРМОМЕТРИЯ МНОГОФАЗНЫХ ПОТОКОВ В СКВАЖИНАХ С ФАЗОВЫМИ ПЕРЕХОДАМИ;2007;;Тюмень;;доклад;;;;геофизика, ГИС скважин; Валиуллин Р.А.,  Рамазанов А.Ш.,  Шарафутдинов Р.Ф. НЕСТАЦИОНАРНАЯ ТЕРМОМЕТРИЯ МНОГОФАЗНЫХ ПОТОКОВ В СКВАЖИНАХ С ФАЗОВЫМИ ПЕРЕХОДАМИ
 Валиуллин Р.А.,  Яруллин Р.К., Шувалов А.В., Белышев Г.А.;ПРАКТИЧЕСКИЙ ОПЫТ ГЕОФИЗИЧЕСКОГО СОПРОВОЖДЕНИЯ ЭКСПЛУАТАЦИИ НИЗКОДЕБИТНЫХ ГОРИЗОНТАЛЬНЫХ СКВАЖИН НА МЕСТОРОЖДЕНИЯХ ОАО «АНК «Башнефть»;2007;;Тюмень;;доклад;;;;геофизика, ГИС скважин; Валиуллин Р.А.,  Яруллин Р.К., Шувалов А.В., Белышев Г.А. ПРАКТИЧЕСКИЙ ОПЫТ ГЕОФИЗИЧЕСКОГО СОПРОВОЖДЕНИЯ ЭКСПЛУАТАЦИИ НИЗКОДЕБИТНЫХ ГОРИЗОНТАЛЬНЫХ СКВАЖИН НА МЕСТОРОЖДЕНИЯХ ОАО «АНК «Башнефть»
 Ельцов И.Н.,  Эпов М.И.,  Антонов Ю.Н.,  Каюров К.Н.;КОМПЛЕКСЫ НА ОСНОВЕ ВИКИЗ ДЛЯ ГЕОФИЗИЧЕСКИХ ИССЛЕДОВАНИЙ В НЕФТЕГАЗОВЫХ СКВАЖИНАХ;2007;;Тюмень;;доклад;;;;геофизика, ГИС скважин; Ельцов И.Н.,  Эпов М.И.,  Антонов Ю.Н.,  Каюров К.Н. КОМПЛЕКСЫ НА ОСНОВЕ ВИКИЗ ДЛЯ ГЕОФИЗИЧЕСКИХ ИССЛЕДОВАНИЙ В НЕФТЕГАЗОВЫХ СКВАЖИНАХ
 Федоров В.Н.,  Клюкин С.С.;ОЦЕНКА ЭФФЕКТИВНОСТИ МЕТОДОВ ВОЗДЕЙСТВИЯ НА ПРИЗАБОЙНУЮ ЗОНУ СКВАЖИНЫ ТЕРМОГИДРОДИНАМИЧЕСКИМИ МЕТОДАМИ ИССЛЕДОВАНИЙ;2007;;Тюмень;;доклад;;;;геофизика, ГИС скважин; Федоров В.Н.,  Клюкин С.С. ОЦЕНКА ЭФФЕКТИВНОСТИ МЕТОДОВ ВОЗДЕЙСТВИЯ НА ПРИЗАБОЙНУЮ ЗОНУ СКВАЖИНЫ ТЕРМОГИДРОДИНАМИЧЕСКИМИ МЕТОДАМИ ИССЛЕДОВАНИЙ
Хабаров А.В., Волокитин Я.Е., Боркент Е.;МЕТОДИКА ОЦЕНКИ ФЕС ТОНКОСЛОИСТЫХ КОЛЛЕКТОРОВ АС10-11 САЛЫМСКОЙ ГРУППЫ МЕСТОРОЖДЕНИЙ;2007;;Тюмень;;доклад;;;;;Хабаров А.В., Волокитин Я.Е., Боркент Е. МЕТОДИКА ОЦЕНКИ ФЕС ТОНКОСЛОИСТЫХ КОЛЛЕКТОРОВ АС10-11 САЛЫМСКОЙ ГРУППЫ МЕСТОРОЖДЕНИЙ
Волокитин Я.Е., Хабаров А.В., Боркент Е.;КОМПЛЕКСНАЯ МЕТОДИКА ОЦЕНКИ КОЭФФИЦИЕНТА НЕФТЕНАСЫЩЕННОСТИ КОЛЛЕКТОРОВ ЧЕРКАШИНСКОЙ СВИТЫ САЛЫМСКОЙ ГРУППЫ МЕСТОРОЖДЕНИЙ;2007;;Тюмень;;доклад;;;;;Волокитин Я.Е., Хабаров А.В., Боркент Е. КОМПЛЕКСНАЯ МЕТОДИКА ОЦЕНКИ КОЭФФИЦИЕНТА НЕФТЕНАСЫЩЕННОСТИ КОЛЛЕКТОРОВ ЧЕРКАШИНСКОЙ СВИТЫ САЛЫМСКОЙ ГРУППЫ МЕСТОРОЖДЕНИЙ
Боркун Ф.Я., Шишканова Л.В..;Геофизические исследования скважин при контроле за разработкой гидрофобных коллекторов нефти.;2007;;Тюмень;;доклад;;;;геофизика, ГИС скважин;Боркун Ф.Я., Шишканова Л.В. Геофизические исследования скважин при контроле за разработкой гидрофобных коллекторов нефти.
