Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
Абросимова О.О., Кулагин С.И.;Природные битумы северо-востока Сибирской платформы;1988;;Якутск: ЯФ Издательства СО РАН;;монография;ВС;;;геология, битуминозность;Каширцев В.А. Природные битумы северо-востока Сибирской платформы // Якутск: Якутский филиал СО АН СССР, 1988, с.104
Абукова Л.А., Гаев А.Я., Кудельский А.В., Орлов А.А., Орлова Е.А., Яковлев Ю.И., Cheng J.M., Zhao R.R.;Осадочные формации в зонах перехода от континента к океану;1987;;М.: Недра;;монография;;;;геология;Конюхов А.И. Осадочные формации в зонах перехода от континента к океану // М.: Недра, 1987, с. 222 
Андиева Т.А.;Природные битумы Севера;1983;;М.: Наука;;монография;;;битумы;битуминозность, геохимия, литология;Клубов Б.А. Природные битумы Севера // М.: Наука, 1983, с. 208 
Анисимов О.А., Ершов А.А., Ренева С.А., Стрельченко Ю.Г.;Природные битумы СССР;1981;;"Л.: ""Недра""";;монография;;;;геология, битуминозность;Гольдберг И.С. Природные битумы СССР (закономерности формирования и размещения) // Л.: Недра, 1981, с.195
Ардисламов Ф.Р.;Стратиграфические ловушки в песчаниках. ;1977;;"М.: Издательство ""Мир""";;монография;;;;геология, нефтегазоносность;Буш Д.А. Стратиграфические ловушки в песчаниках. Методика исследований // М.: Мир, 1977, с. 215
Аркадьева О.В. Гильдин С.М.;Литофациальный анализ вендского осадочного комплекса. Глава 2;;;ИНГиГ СО РАН;;часть книги;ВС;венд-кембрий;;литология, тектоника;Советов Литофациальный анализ вендского осадочного комплекса. Глава 2 / Седиментогенез и определяющие его факторы //  с.162-212 Издательство, год?
Арчегов В.Б.;Гляциоэвстатические циклы плейстоцена и структура шельфовых отложений ;;;;;монография;;плейстоцен;;геология;Гляциоэвстатические циклы плейстоцена и структура шельфовых отложений // Основные черты геологического строения и новейшей тектоники. Глава 1. Часть книги? Автор, издательство, год?
Арчегов В.Б.;Research and application of seismic facies analysis based on the empirical mode decomposition;;;NWGI, CNPC;;статья;;;;сейсморазведка;Liu Qingmin, Yang Wuyang, Tian Lianyu Research and application of seismic facies analysis based on the empirical mode decomposition / NWGI, CNPC
Арчегов В.Б.;Восстановление условий осадконакопления по данным геофизических исследований скважин;;;;;монография;;;;геология, ГИС;Serra O. Восстановление условий осадконакопления по данным геофизических исследований скважин // Издательство, год? С.366
Ашихмин С.Г., Кашников Ю.А., Якимов С.Ю.;Соляные породы. Лекция № 8;;;;;;;;;;Соляные породы. Лекция № 8 // Автор, год?
Бавлов В.Н.;Экологические функции депрессионных водонапорных систем;;;ИПНГ РАН, УО РАН, ИП НАН РБ, ИФНИ Укр;;статья;;;;геология;Абукова Л.А., Гаев А.Я., Кудельский А.В., Орлов А.А., Орлова Е.А., Яковлев Ю.И., Cheng J.M., Zhao R.R. Экологические функции депрессионных водонапорных систем. // изд-во? Год? С.1-20
;Многолетнемерзлые породы северной Евразии в прошлом, настоящем и будущем: оценки, основанные на синтезе наблюдений и моделирования;;;СПб: ГГИ;;статья;Евразия;;;геология; Анисимов О.А., Ершов А.А., Ренева С.А., Стрельченко Ю.Г. Многолетнемерзлые породы северной Евразии в прошлом, настоящем и будущем: оценки, основанные на синтезе наблюдений и моделирования  // СНб: ГГИ год? С.1-24
Красавчиков;Петрогеохимические и геодинамические особенности формирование базальтов бичурской свиты;;;Уфа: Институт геологии Уфимского научного центра РАН;Геологический сборник ;статья;;;;геохимия, литология;Ардисламов Ф.Р. Петрогеохимические и геодинамические особенности формирование базальтов бичурской свиты / Геологический сборник, №6. Информационные материалы // Уфа: Институт геологии Уфимского научного центра РАН, год? С.136-142
Берзин А. Г.;Развитие производительных сил Восточной Сибири и Дальнего Востока на основе стратегических природных ресурсов недр;;;;;статья;;;;экономика;Бавлов В.Н. Развитие производительных сил Восточной Сибири и Дальнего Востока на основе стратегических природных ресурсов недр // Издательство, год?
;Стратиграфия, основные понятия;;;;;;;;;;Стратиграфия, основные понятия // откуда взято?
Глазкова М.М.. Любезная Е.В.;ГИС;;;;;учебное пособие;;;;;ГИС
;;;;;;;;;;;
Воскресенский Ю.Н.;Построение сейсмических изображений;2006;;Москва: РГУНГ им. Губкина;;учебное пособие;;;;сейсморазведка, моделирование;Воскресенский Ю.Н. Построение сейсмических изображений. Учебное пособие // М.: РГУНГ им. Губкина. 2006.
Воскресенский Ю.Н.;Изучение изменений амплитуд сейсмических отражений для поисков и разведки залежей УВ;2001;;РГУНГ Губкина;;учебное пособие;;;;сейсморазведка;Воскресенский Ю.Н. Изучение изменений амплитуд сейсмических отражений для поисков и разведки залежей УВ. Учебное пособие для Вузов. М.: РГУ нефти и газа, 2001, 68 с.
Гумерова Н.В., Удодов В.П.;Геология;2010;;Томск:  Издательство Томского политехнического университета;;учебное пособие;;;;геология;Гумерова Н.В., Удодов В.П. Геология: Учебное пособие //   Томск: Издательство Томского политехнического университета, 2010, с.135 
Дьяконов А.И., Пармузина Л.В., Смирнов А.Н.;Практикум по теоретическим основам и методам поисков и разведки нефтяных и газовых месторождений;2009;;Ухта, УГТУ;;учебное пособие;;;;геология, нефтегазоносность;Дьяконов А.И., Пармузина Л.В., Смирнов А.Н. Практикум по теоретическим основам и методам поисков и разведки нефтяных и газовых месторождений / Учебное  пособие.Издание второе, переработанное и дополненное //  Ухта: Ухтинский государственный технический университет, 2009,с. 95
Дэвис Дж. С.;Статистический анализ данных в геологии.Книга 1;1990;;"Москва:""НЕДРА""";;монография;;;;геология;"Дэвис Дж. С. Статистический анализ данных в  геологии. В 2-х книгах . Книга 1 // М.: ""НЕДРА"", 1990, с.319 "
Дэвис Дж. С.;Статистический анализ данных в геологии. Книга 2;1990;;"Москва:""НЕДРА""";;монография;;;;геология;"Дэвис Дж. С. Статистический анализ данных в  геологии. В 2-х книгах . Книга 1 // М.: ""НЕДРА"", 1990. с.427 "
Зверинский К.Н.;Возможности и проблемы прогноза коллекторских свойств пластов по данным сейсморазведки и ГИС;;;СБНГФ;;статья;;;;нефтегазоносность, сейсморазведка;Зверинский К.Н. Возможности и проблемы прогноза коллекторских свойств пластов по данным сейсморазведки и ГИС // СБНГФ
Иванцов А.Ю.;Вендский организм опознается по отпечаткам;;;;Природа;статья;;;;;Иванцов А.Ю.Вендский организм опознается по отпечаткам // Природа, 2003, № 10, с.3-9
Иванов А.А., Воронова М.Л.;"Галогенные формации (минеральный состав, типы и условия образования; методы поисков и разведки месторождений минеральных солей)";1972;;"М.: Издательство ""Недра""";;монография;;;;геология, геохимия, литология;"Иванов А.А., Воронова М.Л. Галогенные формации (минеральный состав, типы и условия образования; методы поисков и разведки месторождений минеральных солей) // М.: Издательство ""Недра"", 1972, с.328"
Ивашко С.В.;Многовариантное, многослойное  моделирование и анализ информации при оценке перспектив нефтегазоносности Сибирской платформы;2013;;;Геология, геофизика и разработка нефтяных и газовых месторождений;статья;;;;моделирование;Ивашко С.В.Многовариантное, многослойное  моделирование и анализ информации при оценке перспектив нефтегазоносности Сибирской платформы //  Геология, геофизика и разработка нефтяных и газовых месторождений, 2013, № 5, с.18-37
Каширцев В.А.;Новые и редкие стерановые и терпановые углеводороды в нефтях Непско-Ботуобинской антеклизы (Восточная Сибирь);2013;;;Нефтехимия;статья;ВС;;;геохимия;Каширцев В.А.Новые и редкие стерановые и терпановые углеводороды в нефтях Непско-Ботуобинской антеклизы (Восточная Сибирь)  // Нефтехимия, т. 53, № 1, 2013. С. 3-10.
Клятышева Л.Р.;Зональность коллекторов и углеводородонакопления в венд-нижнекембрийском мегакомплексе Непско-Ботуобинской антеклизы;2010;;;Нефтегазовая геология. Теория и практика;статья;ВС;венд-кембрий;;нефтегазоносность, литология;Клятышева Л.Р. Зональность коллекторов и углеводородонакопления в венд-нижнекембрийском мегакомплексе Непско-Ботуобинской антеклизы // Нефтегазовая геология. Теория и практика. 2010, т. 5, № 3.
